Food Item,Calories,Protein,Carbs,Fiber,Fats,Veg/Non-Veg,Category,Meal,Allergens,Junk/Healthy,Weight
Apple(182g),95,0.5,25,4,0.3,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Banana(118g),105,1.3,27,3,0.3,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Mango(165g),99,1.4,25,2.6,0.6,Veg,Fruits,"Lunch,Snack",None,Healthy,Weight Loss
Guava(165g),112,4.2,23.6,8.9,1.6,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Papaya(145g),62,0.7,16,2.5,0.4,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Orange(140g),73,1.3,16.5,2.8,0.2,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Pineapple(165g),82,0.9,22,2.3,0.2,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Watermelon(152g),46,0.9,12,0.6,0.2,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Lychee(100g),66,0.8,16.5,1.3,0.4,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Pomegranate(169g),141,2.9,31.6,7,2,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Pear(178g),101,0.6,27,5.5,0.3,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Peach(168g),66,1.5,16,2.5,0.4,Veg,Fruits,Snack,None,Healthy,Weight Loss
Grapes(200g),138,1,36,2,0.3,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Plum(100g),46,0.7,11,1.4,0.28,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Kiwi(75g),42,0.8,10.1,2.1,0.4,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Jamun(135g),60,1.4,14,1.4,0.3,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Custard Apple(100g),101,2,24,5,0.6,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Sapota(100g),83,0.44,19.9,5.3,1.1,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Fig(100g),74,0.75,19.18,2.9,0.3,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Dried Fig(100g),249,3.3,63.9,9.8,0.9,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Strawberry(150g),50,1,12,3,0.5,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Blueberry(148g),84,1,21,3.5,0.5,Veg,Fruits,"Breakfast,Snack",None,Healthy,Weight Loss
Mulberry(140g),60,2,13.7,2,0.5,Veg,Fruits,"Breakfast,Snack",None,Healthy,WeightLoss
Dragon Fruit(180g),103,0.6,27.4,5.6,0.2,Veg,Fruits,Snack,None,Healthy,Weight Loss
Avocado(136g),227,3,11.8,9.2,21,Veg,Fruits,Snack/Lunch,None,Healthy,Weight Gain
Raisins(40g),120,1.2,32,1.6,0.2,Veg,Fruits,Snack,None,Healthy,Weight Gain
Prunes(30-50g),100,1.1,30.5,3.4,0.2,Veg,Fruits,Snack,None,Healthy,Weight Loss
Dried Appricot(30g),72,1,19,2,0.2,Veg,Fruits,Snack,None,Healthy,Maintain
"Dates(40g, 3 pieces)",110,1,27,3,0.2,Veg,Fruits,Snack,None,Healthy,Weight Gain
Mixed Nuts(30g),180,5,7,2.5,15,Veg,Nuts&Seeds,Snack,Tree Nuts,Healthy,Weight Gain
Walnuts(30g),185,4,4,2,18.5,Veg,Nuts&Seeds,Snack,Tree Nuts,Healthy,Weight  Gain
Almond(30g),174,6,6,4,15,Veg,Nuts&Seeds,Snack,Tree Nuts,Healthy,Weight Gain
Cashews(30g),166,5,9,1,13,Veg,Nuts&Seeds,Snack,Tree Nuts,Healthy,Weight Gain
Pistachios(30g),169,6,9,3,13,Veg,Nuts&Seeds,Snack,Tree Nuts,Healthy,Weight Gain
Peanuts Roasted(30g),175,8,6,3,15,Veg,Nuts&Seeds,Snack,Peanuts,Healthy,Weight Gain
Sunflower Seeds(30g),170,7,7,3,17,Veg,Nuts&Seeds,Snack,None,Healthy,Weight Gain
Pumpkin Seeds(30g),150,8,12,4,14,Veg,Nuts&Seeds,Snack,None,Healthy,Weight Gain
Chia Seeds(30g),146,5,13,10,9,Veg,Nuts&Seeds,Snack,None,Healthy,Maintain
Flax Seeds(30g),160,5.5,8.7,8,12.7,Veg,Nuts&Seeds,Snack,None,Healthy,Maintain
Hazelnuts(28g),178,4.2,4.7,2.7,17,Veg,Nuts,Snack,Tree Nuts,Healthy,Weight Gain
Pine Nuts(28g),191,3.9,3.7,1.1,19,Veg,Nuts,Snack,None,Healthy,Weight Gain
Brazil Nuts(28g),187,4.1,3.3,2.1,19,Veg,Nuts,Snack,None,Healthy,Weight Gain
